"REF_DATE","GEO","DGUID","Trade","North American Product Classification System (NAPCS)","Principal trading partners","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021-05","Nova Scotia","2021A000212","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567085804","4.1.10.2","5","","","","0"
"2021-06","Nova Scotia","2021A000212","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567085804","4.1.10.2","16","","","","0"
"2021-07","Nova Scotia","2021A000212","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567085804","4.1.10.2","441","","","","0"
"2021-08","Nova Scotia","2021A000212","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567085804","4.1.10.2","174","","","","0"
"2021-09","Nova Scotia","2021A000212","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567085804","4.1.10.2","53","","","","0"
"2021-10","Nova Scotia","2021A000212","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567085804","4.1.10.2","9","","","","0"
"2021-11","Nova Scotia","2021A000212","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567085804","4.1.10.2","50","","","","0"
"2021-12","Nova Scotia","2021A000212","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567085804","4.1.10.2","177","","","","0"
"2022-01","Nova Scotia","2021A000212","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567085804","4.1.10.2","19","","","","0"
"2022-02","Nova Scotia","2021A000212","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567085804","4.1.10.2","274","","","","0"
"2022-03","Nova Scotia","2021A000212","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567085804","4.1.10.2","110","","","","0"
"2022-04","Nova Scotia","2021A000212","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567085804","4.1.10.2","18","","","","0"
"2022-05","Nova Scotia","2021A000212","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567085804","4.1.10.2","1437","","","","0"
"2022-06","Nova Scotia","2021A000212","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567085804","4.1.10.2","419","","","","0"
"2022-07","Nova Scotia","2021A000212","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567085804","4.1.10.2","543","","","","0"
"2022-08","Nova Scotia","2021A000212","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567085804","4.1.10.2","282","","","","0"
"2022-09","Nova Scotia","2021A000212","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567085804","4.1.10.2","157","","","","0"
"2022-10","Nova Scotia","2021A000212","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567085804","4.1.10.2","112","","","","0"
"2022-11","Nova Scotia","2021A000212","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567085804","4.1.10.2","56","","","","0"
"2022-12","Nova Scotia","2021A000212","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567085804","4.1.10.2","314","","","","0"
"2023-01","Nova Scotia","2021A000212","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567085804","4.1.10.2","294","","","","0"
"2023-02","Nova Scotia","2021A000212","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567085804","4.1.10.2","108","","","","0"
"2023-03","Nova Scotia","2021A000212","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567085804","4.1.10.2","38","","","","0"
"2023-04","Nova Scotia","2021A000212","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567085804","4.1.10.2","1096","","","","0"
"2023-05","Nova Scotia","2021A000212","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567085804","4.1.10.2","341","","","","0"
"2023-06","Nova Scotia","2021A000212","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567085804","4.1.10.2","297","","","","0"
"2023-07","Nova Scotia","2021A000212","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567085804","4.1.10.2","276","","","","0"
"2023-08","Nova Scotia","2021A000212","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567085804","4.1.10.2","453","","","","0"
"2023-09","Nova Scotia","2021A000212","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567085804","4.1.10.2","285","","","","0"
"2023-10","Nova Scotia","2021A000212","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567085804","4.1.10.2","14","","","","0"
"2023-11","Nova Scotia","2021A000212","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567085804","4.1.10.2","0","","","","0"
"2023-12","Nova Scotia","2021A000212","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567085804","4.1.10.2","223","","","","0"
"2024-01","Nova Scotia","2021A000212","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567085804","4.1.10.2","219","","","","0"
"2024-02","Nova Scotia","2021A000212","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567085804","4.1.10.2","3","","","","0"
"2024-03","Nova Scotia","2021A000212","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567085804","4.1.10.2","5","","","","0"
"2024-04","Nova Scotia","2021A000212","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567085804","4.1.10.2","28","","","","0"
"2024-05","Nova Scotia","2021A000212","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567085804","4.1.10.2","72","","","","0"
"2024-06","Nova Scotia","2021A000212","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567085804","4.1.10.2","2","","","","0"
"2024-07","Nova Scotia","2021A000212","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567085804","4.1.10.2","41","","","","0"
"2024-08","Nova Scotia","2021A000212","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567085804","4.1.10.2","19","","","","0"
"2024-09","Nova Scotia","2021A000212","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567085804","4.1.10.2","3","","","","0"
"2024-10","Nova Scotia","2021A000212","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567085804","4.1.10.2","107","","","","0"
"2024-11","Nova Scotia","2021A000212","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567085804","4.1.10.2","137","","","","0"
"2024-12","Nova Scotia","2021A000212","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567085804","4.1.10.2","54","","","","0"
"2025-01","Nova Scotia","2021A000212","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567085804","4.1.10.2","1766","","","","0"
"2025-02","Nova Scotia","2021A000212","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567085804","4.1.10.2","0","","","","0"
"2018-01","Nova Scotia","2021A000212","Domestic export","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567086181","4.2.10.2","87105","","","","0"
"2018-02","Nova Scotia","2021A000212","Domestic export","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567086181","4.2.10.2","93410","","","","0"
"2018-03","Nova Scotia","2021A000212","Domestic export","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567086181","4.2.10.2","123645","","","","0"
"2018-04","Nova Scotia","2021A000212","Domestic export","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567086181","4.2.10.2","102760","","","","0"
"2018-05","Nova Scotia","2021A000212","Domestic export","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567086181","4.2.10.2","99010","","","","0"
"2018-06","Nova Scotia","2021A000212","Domestic export","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567086181","4.2.10.2","101792","","","","0"
"2018-07","Nova Scotia","2021A000212","Domestic export","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567086181","4.2.10.2","95194","","","","0"
