"symbol","date","adjusted"
"LNR.TO",2021-01-01,61.6838455200195
"LNR.TO",2021-02-01,67.1926574707031
"LNR.TO",2021-03-01,70.0085067749023
"LNR.TO",2021-04-01,68.2079467773438
"LNR.TO",2021-05-01,75.8497161865234
"LNR.TO",2021-06-01,73.7797622680664
"LNR.TO",2021-07-01,70.0504531860352
"LNR.TO",2021-08-01,67.8299560546875
"LNR.TO",2021-09-01,62.5554885864258
"LNR.TO",2021-10-01,64.7430877685547
"LNR.TO",2021-11-01,69.7555160522461
"LNR.TO",2021-12-01,71.4496612548828
"LNR.TO",2022-01-01,67.1777420043945
"LNR.TO",2022-02-01,63.1156234741211
"LNR.TO",2022-03-01,52.9888916015625
"LNR.TO",2022-04-01,48.6896057128906
"LNR.TO",2022-05-01,53.330810546875
"LNR.TO",2022-06-01,52.3941421508789
"LNR.TO",2022-07-01,56.0830497741699
"LNR.TO",2022-08-01,59.6470909118652
"LNR.TO",2022-09-01,51.8500518798828
"LNR.TO",2022-10-01,56.1861457824707
"LNR.TO",2022-11-01,63.6249580383301
"LNR.TO",2022-12-01,59.2494354248047
"LNR.TO",2023-01-01,65.6769866943359
"LNR.TO",2023-02-01,71.766242980957
"LNR.TO",2023-03-01,62.8546600341797
"LNR.TO",2023-04-01,62.4659652709961
"LNR.TO",2023-05-01,58.2951049804688
"LNR.TO",2023-06-01,67.7624969482422
"LNR.TO",2023-07-01,74.478401184082
"LNR.TO",2023-08-01,69.0180892944336
"LNR.TO",2023-09-01,63.8874549865723
"LNR.TO",2023-10-01,58.5464134216309
"LNR.TO",2023-11-01,56.251823425293
"LNR.TO",2023-12-01,62.7435111999512
"LNR.TO",2024-01-01,62.4984970092773
"LNR.TO",2024-02-01,65.0956573486328
"LNR.TO",2024-03-01,70.5643997192383
"LNR.TO",2024-04-01,63.7627410888672
"LNR.TO",2024-05-01,69.8409957885742
"LNR.TO",2024-06-01,65.6328659057617
"LNR.TO",2024-07-01,67.9821853637695
"LNR.TO",2024-08-01,62.3852767944336
"LNR.TO",2024-09-01,62.5376815795898
"LNR.TO",2024-10-01,56.4623107910156
"LNR.TO",2024-11-01,60.9222068786621
"LNR.TO",2024-12-01,56.514965057373
"LNR.TO",2025-01-01,56.2661743164062
"LNR.TO",2025-02-01,51.9869995117188
"LNR.TO",2025-03-01,49.6085739135742
"LNR.TO",2025-04-01,48.3499984741211
"LNR.TO",2025-04-22,48.3499984741211
"MRE.TO",2018-01-01,12.6704988479614
"MRE.TO",2018-02-01,13.0315065383911
"MRE.TO",2018-03-01,13.4101238250732
"MRE.TO",2018-04-01,13.5246276855469
"MRE.TO",2018-05-01,13.7276763916016
