"REF_DATE","GEO","DGUID","Trade","North American Product Classification System (NAPCS)","Principal trading partners","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021-06","Alberta","2021A000248","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567090328","10.1.10.2","83035","","","","0"
"2021-07","Alberta","2021A000248","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567090328","10.1.10.2","72968","","","","0"
"2021-08","Alberta","2021A000248","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567090328","10.1.10.2","79688","","","","0"
"2021-09","Alberta","2021A000248","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567090328","10.1.10.2","75073","","","","0"
"2021-10","Alberta","2021A000248","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567090328","10.1.10.2","86269","","","","0"
"2021-11","Alberta","2021A000248","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567090328","10.1.10.2","74690","","","","0"
"2021-12","Alberta","2021A000248","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567090328","10.1.10.2","80790","","","","0"
"2022-01","Alberta","2021A000248","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567090328","10.1.10.2","68168","","","","0"
"2022-02","Alberta","2021A000248","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567090328","10.1.10.2","54317","","","","0"
"2022-03","Alberta","2021A000248","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567090328","10.1.10.2","131272","","","","0"
"2022-04","Alberta","2021A000248","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567090328","10.1.10.2","126613","","","","0"
"2022-05","Alberta","2021A000248","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567090328","10.1.10.2","158459","","","","0"
"2022-06","Alberta","2021A000248","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567090328","10.1.10.2","149323","","","","0"
"2022-07","Alberta","2021A000248","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567090328","10.1.10.2","145498","","","","0"
"2022-08","Alberta","2021A000248","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567090328","10.1.10.2","143109","","","","0"
"2022-09","Alberta","2021A000248","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567090328","10.1.10.2","128647","","","","0"
"2022-10","Alberta","2021A000248","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567090328","10.1.10.2","141491","","","","0"
"2022-11","Alberta","2021A000248","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567090328","10.1.10.2","118880","","","","0"
"2022-12","Alberta","2021A000248","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567090328","10.1.10.2","115974","","","","0"
"2023-01","Alberta","2021A000248","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567090328","10.1.10.2","121443","","","","0"
"2023-02","Alberta","2021A000248","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567090328","10.1.10.2","135201","","","","0"
"2023-03","Alberta","2021A000248","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567090328","10.1.10.2","133242","","","","0"
"2023-04","Alberta","2021A000248","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567090328","10.1.10.2","150835","","","","0"
"2023-05","Alberta","2021A000248","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567090328","10.1.10.2","135520","","","","0"
"2023-06","Alberta","2021A000248","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567090328","10.1.10.2","124050","","","","0"
"2023-07","Alberta","2021A000248","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567090328","10.1.10.2","106469","","","","0"
"2023-08","Alberta","2021A000248","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567090328","10.1.10.2","97321","","","","0"
"2023-09","Alberta","2021A000248","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567090328","10.1.10.2","95605","","","","0"
"2023-10","Alberta","2021A000248","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567090328","10.1.10.2","98830","","","","0"
"2023-11","Alberta","2021A000248","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567090328","10.1.10.2","103439","","","","0"
"2023-12","Alberta","2021A000248","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567090328","10.1.10.2","118970","","","","0"
"2024-01","Alberta","2021A000248","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567090328","10.1.10.2","99038","","","","0"
"2024-02","Alberta","2021A000248","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567090328","10.1.10.2","124934","","","","0"
"2024-03","Alberta","2021A000248","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567090328","10.1.10.2","129011","","","","0"
"2024-04","Alberta","2021A000248","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567090328","10.1.10.2","136616","","","","0"
"2024-05","Alberta","2021A000248","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567090328","10.1.10.2","138678","","","","0"
"2024-06","Alberta","2021A000248","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567090328","10.1.10.2","118888","","","","0"
"2024-07","Alberta","2021A000248","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567090328","10.1.10.2","103987","","","","0"
"2024-08","Alberta","2021A000248","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567090328","10.1.10.2","86654","","","","0"
